check_id,dim,status,score,max,note
GIT-001,app,PASS,2,2,main present; develop unused by design (EXCEPTION GIT-001)
DOC-001,app,PASS,1,1,README.md present
DOC-002,app,PASS,1,1,CLAUDE.md present
DOC-003,app,PASS,1,1,MEMORY.md present
DOC-004,app,PASS,1,1,AGENTS.md present (thin pointer per spec)
DOC-005,app,PASS,2,2,DEPLOY.md present; runner+watchdog+rollback documented
DOC-006,app,PASS,1,1,design.md present
DOC-007,app,FAIL,0,3,backup.md exists but no data backup ever run and restore never verified
DOC-008,app,PASS,1,1,stack.md present and lockfile-derived
DOC-009,app,FAIL,0,2,RUNBOOK.md stale vs actual stack (APP-07)
DOC-010,app,PASS,1,1,data.md present and thorough
DOC-011,app,PASS,1,1,CLAUDE.md is command-rich with pointers
STG-001,app,PASS,1,1,EXCEPTION -- accepted deviation, no staging tier
STG-002,app,PASS,1,1,EXCEPTION -- accepted deviation, no staging tier
STG-003,app,PASS,1,1,EXCEPTION -- accepted deviation, no staging tier
SEC-001,app,PASS,3,3,.env* ignored and untracked; .env.example placeholders only
SEC-002,app,FAIL,0,5,CRITICAL committed key material still tracked in a PUBLIC repo (APP-01)
SEC-003,app,PASS,2,2,settings.local.json untracked; cert/key globs in .gitignore going forward
CI-001,app,FAIL,0,3,ci.yml gates backend only; frontend build never runs in CI (APP-02)
LINT-001,app,FAIL,0,2,no eslint config anywhere; frontend lint script references uninstalled eslint (APP-03)
SKL-001,app,PASS,1,1,.claude/ agents/ commands/ docs/ adr/ wireframes/ all present
AGT-001,app,PASS,2,2,deploy-prod.md present; delegates to /tprod
AGT-002,app,PASS,5,5,git-triggered runner (deploy.yml + self-hosted runner + deploy-live.sh) confirmed real
AGT-003,app,PASS,3,3,deploy-live.sh installs/refreshes watchdog cron every deploy
APP-001,app,FAIL,0,3,SYSINFO page/route entirely absent (APP-04)
APP-002,app,FAIL,0,2,Responsive toggle absent from avatar menu (APP-05)
APP-003,app,PASS,2,2,health endpoint functional with real Mongo/Redis checks; route-name deviation noted not failed
APP-005,app,FAIL,0,2,tables built on npm ag-grid not vendored prdgrid (APP-06)
